2025-11-10 08:30:43 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:44 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33491 HTTP/1.1" 200 None
2025-11-10 08:30:44 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:45 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33490 HTTP/1.1" 200 None
2025-11-10 08:30:45 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:46 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33489 HTTP/1.1" 200 None
2025-11-10 08:30:46 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:47 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33364 HTTP/1.1" 200 None
2025-11-10 08:30:47 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:48 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/33364/notes HTTP/1.1" 201 None
2025-11-10 08:30:48 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:48 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33346 HTTP/1.1" 200 None
2025-11-10 08:30:48 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:49 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/33346/notes HTTP/1.1" 201 None
2025-11-10 08:30:49 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:50 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33314 HTTP/1.1" 200 None
2025-11-10 08:30:50 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:51 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/33314/notes HTTP/1.1" 201 None
2025-11-10 08:30:51 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:52 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33297 HTTP/1.1" 200 None
2025-11-10 08:30:52 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:53 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33266 HTTP/1.1" 200 None
2025-11-10 08:30:53 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:54 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/33266/notes HTTP/1.1" 201 None
2025-11-10 08:30:54 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:55 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33139 HTTP/1.1" 200 None
2025-11-10 08:30:55 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:56 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33083 HTTP/1.1" 200 None
2025-11-10 08:30:56 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:57 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33027 HTTP/1.1" 200 None
2025-11-10 08:30:57 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:58 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "POST /api/v2/tickets/33027/notes HTTP/1.1" 201 None
2025-11-10 08:30:58 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:59 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/33013 HTTP/1.1" 200 None
2025-11-10 08:30:59 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:30:59 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32883 HTTP/1.1" 200 None
2025-11-10 08:30:59 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:00 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32879 HTTP/1.1" 200 None
2025-11-10 08:31:00 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:01 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32856 HTTP/1.1" 200 None
2025-11-10 08:31:01 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:02 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32844 HTTP/1.1" 200 None
2025-11-10 08:31:02 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:02 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32836 HTTP/1.1" 200 None
2025-11-10 08:31:02 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): tdilatam.freshdesk.com:443
2025-11-10 08:31:03 - urllib3.connectionpool - DEBUG - https://tdilatam.freshdesk.com:443 "GET /api/v2/tickets/32785 HTTP/1.1" 200 None
